parameters,initial_param,lower_limit,upper_limit
lamda,3,2.85,3.15
beta1,1.25,1.1875,1.3125
beta2,0.2,0.19,0.21
beta3,0.05,0.0475,0.0525
alpha1,0.002,0.0019,0.0021
alpha2,0.15,0.1425,0.1575
gama1,0.25,0.2375,0.2625
r1,0.000001,0.00000095,0.00000105
r2,0.0000003,0.000000285,0.000000315
r3,0.000002,0.0000019,0.0000021
d1,0.0000001,0.000000095,0.000000105
d2,0.0000001,0.000000095,0.000000105
d3,0.0000001,0.000000095,0.000000105
b1,0.008,0.0076,0.0084
h1,0.2,0.19,0.21
l,0.026,0.0247,0.0273
mu,0.01434103,0.013623979,0.015058082
