date,day,infected,recovered,deceased
14-Mar-20,0,81,9,2
15-Mar-20,1,27,4,0
16-Mar-20,2,15,1,0
17-Mar-20,3,11,1,1
18-Mar-20,4,37,0,0
19-Mar-20,5,27,5,1
20-Mar-20,6,58,3,0
21-Mar-20,7,78,0,0
22-Mar-20,8,67,0,3
23-Mar-20,9,102,12,2
24-Mar-20,10,64,5,1
25-Mar-20,11,90,3,1
26-Mar-20,12,65,7,5
27-Mar-20,13,164,26,3
28-Mar-20,14,143,9,5
29-Mar-20,15,110,5,3
30-Mar-20,16,187,49,13
31-Mar-20,17,309,15,6
01-Apr-20,18,424,16,9
02-Apr-20,19,486,22,14
03-Apr-20,20,560,38,14
04-Apr-20,21,579,56,13
05-Apr-20,22,609,43,22
06-Apr-20,23,484,65,16
07-Apr-20,24,572,75,27
08-Apr-20,25,565,96,20
09-Apr-20,26,813,70,46
10-Apr-20,27,871,151,22
11-Apr-20,28,854,186,40
12-Apr-20,29,758,114,42
13-Apr-20,30,1243,112,27
14-Apr-20,31,1031,167,37
15-Apr-20,32,886,144,27
16-Apr-20,33,1061,258,26
17-Apr-20,34,922,273,38
18-Apr-20,35,1371,426,35
19-Apr-20,36,1580,388,38
20-Apr-20,37,1239,419,33
21-Apr-20,38,1537,703,53
22-Apr-20,39,1292,394,36
23-Apr-20,40,1667,642,40
24-Apr-20,41,1408,484,59
25-Apr-20,42,1835,442,44
26-Apr-20,43,1607,585,56
27-Apr-20,44,1568,580,58
28-Apr-20,45,1902,636,69
29-Apr-20,46,1705,690,71
30-Apr-20,47,1802,630,75
01-May-20,48,2396,962,77
02-May-20,49,2564,831,92
03-May-20,50,2952,911,140
04-May-20,51,3656,1082,103
05-May-20,52,2971,1295,128
06-May-20,53,3602,1161,91
07-May-20,54,3344,1475,104
08-May-20,55,3339,1111,97
09-May-20,56,3175,1414,115
10-May-20,57,4311,1669,112
11-May-20,58,3592,1579,81
12-May-20,59,3562,1905,120
13-May-20,60,3726,1963,137
14-May-20,61,3991,1594,97
15-May-20,62,3808,2234,104
16-May-20,63,4794,4012,120
17-May-20,64,5049,2538,152
18-May-20,65,4628,2482,131
19-May-20,66,6154,3032,146
20-May-20,67,5720,3113,134
21-May-20,68,6023,3131,148
22-May-20,69,6536,3280,142
23-May-20,70,6663,2576,142
24-May-20,71,7111,3285,156
25-May-20,72,6414,3012,150
26-May-20,73,5907,3585,173
27-May-20,74,7246,3434,188
28-May-20,75,7254,3171,176
29-May-20,76,8138,11735,269
30-May-20,77,8364,4303,205
31-May-20,78,8789,4928,222
01-Jun-20,79,7723,3882,201
02-Jun-20,80,8812,4531,222
03-Jun-20,81,9689,3789,259
04-Jun-20,82,9847,4390,274
05-Jun-20,83,9472,4770,286
06-Jun-20,84,10408,5433,297
07-Jun-20,85,10882,5191,261
08-Jun-20,86,8536,5171,271
09-Jun-20,87,9981,5634,272
10-Jun-20,88,11156,6275,358
11-Jun-20,89,11135,6044,394
12-Jun-20,90,11306,7263,388
13-Jun-20,91,12039,8092,309
14-Jun-20,92,11405,7358,324
15-Jun-20,93,10032,10639,396
16-Jun-20,94,11086,7226,2004
17-Jun-20,95,13108,6890,341
18-Jun-20,96,13829,10741,343
19-Jun-20,97,14638,9029,364
20-Jun-20,98,15918,13974,308
21-Jun-20,99,15151,9075,426
22-Jun-20,100,13560,10879,312
23-Jun-20,101,15656,10462,468
24-Jun-20,102,16868,13089,424
25-Jun-20,103,18205,13983,401
26-Jun-20,104,18255,10246,381
27-Jun-20,105,20142,14229,414
28-Jun-20,106,19610,11631,384
29-Jun-20,107,18339,13497,417
30-Jun-20,108,18256,12565,506
01-Jul-20,109,19429,12064,438
02-Jul-20,110,21947,19999,378
03-Jul-20,111,22718,14417,444
04-Jul-20,112,24018,14746,611
05-Jul-20,113,23942,15829,421
06-Jul-20,114,22500,15315,473
07-Jul-20,115,23147,16836,479
08-Jul-20,116,25561,19508,492
09-Jul-20,117,25790,19408,479
10-Jul-20,118,27762,20289,520
11-Jul-20,119,27757,19981,543
12-Jul-20,120,29106,18198,500
13-Jul-20,121,28178,17683,541
14-Jul-20,122,29917,20977,587
15-Jul-20,123,32607,20646,614
16-Jul-20,124,35468,22867,680
17-Jul-20,125,34820,17476,676
18-Jul-20,126,37411,23583,543
19-Jul-20,127,40235,22730,675
20-Jul-20,128,36806,24303,596
21-Jul-20,129,39170,27589,671
22-Jul-20,130,45601,31875,1130
23-Jul-20,131,48443,33326,755
24-Jul-20,132,48888,32514,763
25-Jul-20,133,50072,37125,703
26-Jul-20,134,48932,31512,704
27-Jul-20,135,46484,34354,642
28-Jul-20,136,49631,35683,774
29-Jul-20,137,52479,32886,775
30-Jul-20,138,54968,37425,784
31-Jul-20,139,57486,36554,764
01-Aug-20,140,55117,51368,854
02-Aug-20,141,52672,40355,760
03-Aug-20,142,50488,43070,806
04-Aug-20,143,51282,51220,849
05-Aug-20,144,56626,45583,919
06-Aug-20,145,62170,50141,899
07-Aug-20,146,61455,50387,936
08-Aug-20,147,65156,52135,875
09-Aug-20,148,62117,54474,1013
10-Aug-20,149,53016,47362,887
11-Aug-20,150,61252,56461,835
12-Aug-20,151,67066,57759,950
13-Aug-20,152,64141,54776,1006
14-Aug-20,153,65610,56920,989
15-Aug-20,154,63986,53116,952
16-Aug-20,155,58096,57404,952
17-Aug-20,156,54298,58172,880
18-Aug-20,157,64999,60455,1099
19-Aug-20,158,69196,59365,979
20-Aug-20,159,68518,61873,981
21-Aug-20,160,68519,62858,953
22-Aug-20,161,70067,59101,918
23-Aug-20,162,61749,56896,846
24-Aug-20,163,59696,66305,854
25-Aug-20,164,66873,64151,1066
26-Aug-20,165,75995,56191,1017
27-Aug-20,166,76827,59620,1066
28-Aug-20,167,76657,64475,1019
29-Aug-20,168,78479,64982,943
30-Aug-20,169,79461,60422,960
31-Aug-20,170,68766,64435,816
01-Sep-20,171,78168,62145,1027
02-Sep-20,172,82860,67874,1026
03-Sep-20,173,84156,67491,1083
04-Sep-20,174,87115,69625,1066
05-Sep-20,175,90600,73161,1044
06-Sep-20,176,91725,69630,1005
07-Sep-20,177,75015,74116,1129
08-Sep-20,178,89855,74608,1107
09-Sep-20,179,95536,73062,1168
10-Sep-20,180,96762,70904,1213
11-Sep-20,181,97655,81456,1202
12-Sep-20,182,94414,77862,1111
13-Sep-20,183,93220,77748,1140
14-Sep-20,184,81913,79213,1054
15-Sep-20,185,91098,82849,1281
16-Sep-20,186,97860,82924,1140
17-Sep-20,187,96787,87788,1175
18-Sep-20,188,92973,95515,1221
19-Sep-20,189,92574,94389,1149
20-Sep-20,190,87395,92926,1135
21-Sep-20,191,74493,102070,1056
22-Sep-20,192,83362,89657,1085
23-Sep-20,193,86703,87459,1123
24-Sep-20,194,85921,81142,1144
25-Sep-20,195,85717,93331,1093
26-Sep-20,196,88759,92365,1124
27-Sep-20,197,82770,74691,1040
28-Sep-20,198,69669,85198,775
29-Sep-20,199,80500,86150,1178
30-Sep-20,200,86748,85274,1179
01-Oct-20,201,81784,78731,1099
02-Oct-20,202,79883,76339,1068
03-Oct-20,203,75479,81655,937
04-Oct-20,204,74770,76713,903
05-Oct-20,205,60130,75855,886
06-Oct-20,206,71869,81945,990
07-Oct-20,207,78809,83209,963
08-Oct-20,208,70797,78745,967
09-Oct-20,209,73305,82628,929
10-Oct-20,210,74418,89024,921
11-Oct-20,211,67789,71565,813
12-Oct-20,212,54262,78365,710
13-Oct-20,213,63717,74079,727
14-Oct-20,214,67811,81582,690
15-Oct-20,215,63441,70792,882
16-Oct-20,216,62304,70568,840
17-Oct-20,217,61893,72583,1032
18-Oct-20,218,56519,66418,582
19-Oct-20,219,45506,69800,589
20-Oct-20,220,54348,61828,714
21-Oct-20,221,56264,79561,701
22-Oct-20,222,54371,74569,686
23-Oct-20,223,53931,66994,655
24-Oct-20,224,50366,62270,578
25-Oct-20,225,45922,59304,483
26-Oct-20,226,36019,63734,485
27-Oct-20,227,43036,58429,511
28-Oct-20,228,50188,56594,515
29-Oct-20,229,48765,57867,562
30-Oct-20,230,48117,59005,550
31-Oct-20,231,47228,58682,469
01-Nov-20,232,45928,53312,491
02-Nov-20,233,37592,58524,498
03-Nov-20,234,46027,53328,510
04-Nov-20,235,50465,55873,707
05-Nov-20,236,47628,54133,672
06-Nov-20,237,50017,53946,577
07-Nov-20,238,46153,48582,557
08-Nov-20,239,46707,48465,491
09-Nov-20,240,37119,41449,450
10-Nov-20,241,44724,54639,511
11-Nov-20,242,48285,52704,550
12-Nov-20,243,44585,49354,544
13-Nov-20,244,44620,47620,517
14-Nov-20,245,41692,42317,450
15-Nov-20,246,30681,44111,434
16-Nov-20,247,28609,40392,451
17-Nov-20,248,38548,44753,472
18-Nov-20,249,45366,48675,586
19-Nov-20,250,46185,45246,582
20-Nov-20,251,46283,48968,564
21-Nov-20,252,45301,44055,499
22-Nov-20,253,44404,41405,510
23-Nov-20,254,37441,42195,481
24-Nov-20,255,44245,37765,489
25-Nov-20,256,44699,36582,518
26-Nov-20,257,43174,39723,491
27-Nov-20,258,41353,41177,486
28-Nov-20,259,41815,42275,495
29-Nov-20,260,39036,45152,444
30-Nov-20,261,31179,42282,482
